Model,Dataset,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Mean,CV Std
Logistic Regression,All Features,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666666,0.9512987012987013,0.8263605442176871,0.01721093476909073
Decision Tree,All Features,0.7213114754098361,0.6571428571428571,0.8214285714285714,0.73015873015873,0.7288961038961038,0.6981292517006803,0.023722813438934003
Random Forest,All Features,0.8852459016393442,0.8181818181818182,0.9642857142857143,0.8852459016393442,0.9512987012987013,0.7974489795918368,0.02475147188081056
SVM,All Features,0.8524590163934426,0.8064516129032258,0.8928571428571429,0.8474576271186439,0.9437229437229437,0.8222789115646257,0.02486717921963843
Logistic Regression,Selected Features,0.8524590163934426,0.8064516129032258,0.8928571428571429,0.8474576271186439,0.9350649350649352,0.826530612244898,0.015589311480038998
Decision Tree,Selected Features,0.7540983606557377,0.6857142857142857,0.8571428571428571,0.7619047619047619,0.7619047619047621,0.7396258503401361,0.028504284158231797
Random Forest,Selected Features,0.8524590163934426,0.7878787878787878,0.9285714285714286,0.8524590163934426,0.9393939393939394,0.7933673469387755,0.018561972749101256
SVM,Selected Features,0.8524590163934426,0.8064516129032258,0.8928571428571429,0.8474576271186439,0.9383116883116882,0.8140306122448979,0.018539755203961446
Logistic Regression,PCA Features,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666666,0.946969696969697,0.8224489795918368,0.01982332359753269
Decision Tree,PCA Features,0.8032786885245902,0.75,0.8571428571428571,0.7999999999999999,0.8073593073593074,0.7517006802721088,0.055591697716602564
Random Forest,PCA Features,0.8524590163934426,0.8275862068965517,0.8571428571428571,0.8421052631578947,0.9388528138528139,0.7892857142857144,0.014958737421921484
SVM,PCA Features,0.8524590163934426,0.8064516129032258,0.8928571428571429,0.8474576271186439,0.9329004329004329,0.822278911564626,0.035843627145184985
